,1LP,2LP,3LP,4LP,5LP,6LP,7LP,8LP,9LP,10LP,11LP,12LP,13LP,14LP,15LP,16LP,17LP,18LP,19LP,20LP,21LP,22LP,23LP,24LP,25LP,26LP,27LP,28LP,29LP,30LP
P0,280,231,224,227,226,214,210,214,212,215,216,214,214,218,214,214,205,200,191,185,178,173,167,163,154,154,147,142,139,132
P1,285,231,224,232,231,215,215,213,215,216,217,219,216,212,216,212,206,199,192,184,179,171,166,163,156,153,148,142,140,136
P2,286,231,222,228,227,216,216,212,213,218,217,219,216,220,216,208,205,198,192,186,180,173,166,163,156,152,148,144,139,136
P3,286,232,221,228,229,216,214,215,217,215,220,219,216,216,215,212,206,199,192,185,179,173,168,163,155,151,148,143,139,135
P4,284,229,227,226,234,214,212,216,212,215,216,220,217,214,214,211,205,199,192,185,180,170,166,162,155,152,147,143,140,136
P5,286,234,221,228,229,214,214,214,217,217,220,216,213,218,213,215,204,197,188,185,177,173,167,163,160,151,146,142,137,136
P6,282,231,221,228,228,216,212,209,216,216,218,218,219,216,215,213,206,198,192,187,173,172,167,161,154,152,147,142,137,136
P7,284,228,222,231,226,216,211,215,215,216,218,219,217,215,215,214,205,198,191,185,176,172,168,162,158,151,146,141,139,135
P8,288,233,222,226,223,216,214,216,213,216,217,216,219,217,216,213,207,200,191,186,178,173,167,159,157,151,146,142,139,135
P9,288,231,223,226,224,214,215,214,217,215,216,211,221,213,217,212,206,198,192,186,178,170,168,163,155,151,147,143,137,136
